Week,Sales
2023-01-01,233099.04941371048
2023-01-08,255758.2695434879
2023-01-15,237961.34809114534
2023-01-22,239247.21558222032
2023-01-29,258826.7176854472
2023-02-05,238744.33082300733
2023-02-12,256574.45086591953
2023-02-19,235511.44339967272
2023-02-26,231904.72463744847
2023-03-05,222556.1080949481
2023-03-12,278002.7494744613
2023-03-19,245284.24578700948
2023-03-26,253743.36436446742
2023-04-02,249621.7149721686
2023-04-09,252484.45099460622
2023-04-16,250831.86712340446
2023-04-23,278705.6067403152
2023-04-30,234505.32556563342
2023-05-07,226722.7502290404
2023-05-14,234904.26702003938
2023-05-21,230061.24836931395
2023-05-28,261284.41990101014
2023-06-04,262384.5301530266
2023-06-11,235658.73968747965
2023-06-18,229221.9574800654
2023-06-25,244756.59845780977
2023-07-02,270942.62010887184
2023-07-09,207784.9207861112
2023-07-16,257980.17332888243
2023-07-23,233941.55950599568
2023-07-30,265684.43735473097
2023-08-06,233915.92788361234
2023-08-13,245806.88342776848
2023-08-20,227495.66246590353
2023-08-27,235435.6798972569
2023-09-03,270879.1954001617
2023-09-10,262395.2494961807
2023-09-17,244056.28449156144
2023-09-24,237026.8972363215
2023-10-01,221675.00904503613
2023-10-08,244179.6049967738
2023-10-15,249611.74865072055
2023-10-22,248823.50003395494
2023-10-29,248678.30478355527
2023-11-05,233254.86210849797
2023-11-12,249086.28664330905
2023-11-19,249496.69701287884
2023-11-26,269439.29439111374
2023-12-03,278083.4930680895
2023-12-10,248030.09262964348
2023-12-17,238595.0767795539
2023-12-24,249114.1688600887
2023-12-31,240968.8902642905
2024-01-07,238948.9379816825
2024-01-14,249206.47009038329
2024-01-21,234432.35599723036
2024-01-28,259176.33024106696
2024-02-04,248530.87133310683
2024-02-11,253837.3491167187
2024-02-18,247342.99579032118
2024-02-25,239180.35105578488
2024-03-03,235858.57711126324
2024-03-10,246519.40607588788
2024-03-17,241846.6258403395
2024-03-24,253594.94337441414
2024-03-31,250018.16202857046
2024-04-07,229653.07674013343
2024-04-14,251093.80253227003
2024-04-21,229940.9863808523
2024-04-28,240835.29079639635
2024-05-05,245664.23363866223
2024-05-12,218950.8495196616
2024-05-19,251452.99852710587
2024-05-26,252344.4521927773
2024-06-02,247712.81114138346
2024-06-09,243719.91570739486
2024-06-16,244480.50102499977
2024-06-23,235430.44859385327
